YEAR,Month,INCIDENT NAME,TOTAL VICTIMS,TOTAL VICTIMS,LOCATION,INJURED,INJURED,DEATH,DEATH,ATTACK TYPE,PERPETRATOR,TARGET
2015,dec,parachinar bombing,Low,87,parachinar,Low,62,Low,25,bombing,,Civillians
2015,jan,Bacha Khan University attack,Low,34,charsadda,Low,12,Low,22,school shooting,taliban,bacha khan university
2015,jan,quetta suicide bombing ,Low,40,quetta,Low,25,Low,15,suicide bombing,tehreek e taliban,Civillians
2015,mar,lahore bombing,Medium,415,lahore,High,340,Medium,75,suicide bombing,jamat ul ahrar,pakistani christians
2015,mar,peshawar bus bombing,Low,40,peshawar,Low,25,Low,15,mass murder,,Civillians
2015,jul,samia shahid,Low,1,pandori,Low,0,Low,1,murder,,
2015,aug,quetta attacks,Low,190,quetta,Low,120,Medium,70,suicide bombing,jamat ul ahrar,
2015,sep,mohmand mosque bombing,Low,70,butmaina,Low,34,Low,36,suicide bombing,jamat ul ahrar,
2015,oct,Quetta police training college attack,Medium,227,Quetta,Low,165,Medium,62,mass shooting,Lashkar-e-Jhangvi,police training centre
2015,nov,khuzdar bombing,Low,157,khuzdar,Low,102,Low,55,bombing,isis,
2015,jan,parachinar bombing,Low,112,parachinar,Low,87,Low,25,bombing,Lashkar-e-Jhangvi,
2016,feb,charsadda sucide bombing,Low,27,charsadda,Low,20,Low,7,suicide bombing,,sessions court
2016,feb,hayatabad sucide bombing,Low,14,hayatabad,Low,12,Low,2,suicide attack,tehreek e taliban,judges
2016,feb,lahore bombing,Low,108,lahore,Low,90,Low,18,suicide bombing,jamat ul ahrar,police officals
2016,mar,parachinar sucide bombing,Low,112,parachinar,Low,87,Low,25,bombing,Lashkar-e-Jhangvi,
2016,apr,lahore bombing,Low,32,lahore,Low,24,Low,8,suicide bombing,tehreek e taliban,
2016,apr,Sargodha shrine massacre,Low,23,Sargodha,Low,3,Low,20,torture,,people visiting shrine
2016,may,gawadar labour shooting,Low,10,gawadar,Low,0,Low,10,shooting,,sindhi labourers
2016,may,mastung sucide bombing,Low,68,mastung,Low,40,Low,28,suicide motocycle bombing,,Senator Abdull Ghafoor Haideri
2016,jun,pakistan attacks,Medium,317,pakistan,Medium,221,Medium,96,target killing,jamat ul ahrar,law enforcement personnel and civilians
2017,jun,zarghoon road killing,Low,18,zarghoon,Low,13,Low,5,target killing,,
2017,jul,lahore bombing,Low,80,lahore,Low,54,Low,26,suicide bombing,tehreek e taliban,police officals
2017,jul,panjgur landmine blast,Low,9,panjgur,Low,5,Low,4,bombing,,
2017,aug,ataullah shah,Low,1,Dera Ismail Khan ,Low,0,Low,1,shooting,,Ataullah Shah
2017,aug,Bajaur bombing,Low,27,Bajaur,Low,24,Low,3,bombing,,Laborers
2017,aug,harnai balochistan,Low,8,harnai,Low,0,Low,8,bombing,balochistan liberation army,Frontier Corps
2017,aug,lahore bombing,Low,37,lahore,Low,35,Low,2,truck bombing,tehreek e taliban,
2017,aug,quetta suicide bombing ,Low,55,quetta,Low,40,Low,15,suicide bombing,islamic state khorasan province,Pakistan army
2017,aug,sehwan sucide bombing,Medium,391,sehwan,Medium,300,Medium,91,suicide jacket grenade,isis,Sufi pilgrims
2017,oct,malawat poisoning ,Low,17,malawat,Low,0,Low,17,,,
2017,oct,jhal magsi sucide bombing,Low,50,jhal magsi,Low,30,Low,20,suicide bombing,,Pir Rakhel Shah shrine
2017,nov,Peshawar police vehicle attack,Low,8,Peshawar,Low,6,Low,2,suicide attack,,Ashraf Noor (AIG)
2017,dec,peshawar Agriculture Directorate attack,Low,48,peshawar,Low,35,Low,13,mass murder,tehreek e taliban,Agricultural Training Institute
